date,close,ret,logret,sma,vol,drawdown,regime_A,regime_B,regime_C
2016-01-04,4497.85679686,,,,,0.00000000,Bear,Bear,Bull
2016-01-05,4484.17984260,-0.00304077,-0.00304540,,,-0.00304077,Bear,Bear,Bull
2016-01-06,4443.98511587,-0.00896367,-0.00900409,4475.34058511,,-0.01197719,Bear,Bear,Bull
2016-01-07,4305.72438356,-0.03111188,-0.03160613,4432.93653472,0.23918004,-0.04271644,Bear,Bear,Bear
2016-01-08,4270.78240872,-0.00811524,-0.00814835,4400.50570952,0.20179541,-0.05048502,Bear,Bear,Bear
2016-01-11,4283.54743989,0.00298892,0.00298446,4381.01266458,0.20818154,-0.04764699,Bear,Bear,Bear
2016-01-12,4333.71746743,0.01171226,0.01164420,4374.25620785,0.23220796,-0.03649279,Bear,Bear,Bear
2016-01-13,4183.11600599,-0.03475110,-0.03536929,4350.36368261,0.27490531,-0.06997573,Bear,Bear,Bear
2016-01-14,4272.96695149,0.02147943,0.02125200,4341.76404582,0.31026170,-0.04999933,Bear,Bear,Bear
2016-01-15,4141.08220550,-0.03086491,-0.03135127,4321.69586179,0.31881845,-0.07932102,Bear,Bear,Bear
2016-01-19,4147.07488183,0.00144713,0.00144608,4305.82122725,0.30528369,-0.07798868,Bear,Bear,Bear
2016-01-20,4136.28101277,-0.00260277,-0.00260616,4291.69287604,0.29081739,-0.08038846,Bear,Bear,Bear
2016-01-21,4142.59913870,0.00152749,0.00152632,4280.22412702,0.28043242,-0.07898376,Bear,Bear,Bear
2016-01-22,4259.77349911,0.02828523,0.02789259,4278.76336788,0.30902374,-0.05293261,Bear,Bear,Bear
2016-01-25,4196.53174865,-0.01484627,-0.01495758,4273.28125993,0.30039860,-0.06699303,Bear,Bear,Bear
2016-01-26,4233.85004931,0.00889265,0.00885335,4270.81680927,0.29495086,-0.05869612,Bear,Bear,Bear
2016-01-27,4128.86105250,-0.02479752,-0.02511016,4262.46647063,0.29697377,-0.08203813,Bear,Bear,Bear
2016-01-28,4186.06083970,0.01385365,0.01375856,4258.22171336,0.29680622,-0.06932101,Bear,Bear,Bear
2016-01-29,4279.16940333,0.02224253,0.02199877,4259.32422336,0.30420425,-0.04862035,Bull,Bear,Bear
2016-02-01,4286.55630278,0.00172625,0.00172476,4260.68582733,0.29608603,-0.04697804,Bull,Bear,Bear
2016-02-02,4193.10042694,-0.02180209,-0.02204326,4257.46747493,0.29639388,-0.06775591,Bear,Bear,Bear
2016-02-03,4171.96772587,-0.00503987,-0.00505262,4253.58112270,0.29643796,-0.07245430,Bear,Bear,Bear
