Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N,Healthcare,Yahoo Finance
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N,Basic Materials,Yahoo Finance
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100.0,N,N,,AACG,N,Consumer Defensive,Yahoo Finance
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N,Industrials,Yahoo Finance
Y,AAMC,Altisource Asset Management Corp Com,A, ,N,100.0,N,,AAMC,AAMC,N,N/A,Yahoo Finance
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,N,,AAME,N,Financial Services,Yahoo Finance
Y,AAN,"Aaron's, Inc. Common Stock",N, ,N,100.0,N,,AAN,AAN,N,N/A,Yahoo Finance
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N,Technology,Yahoo Finance
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N,Industrials,Yahoo Finance
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,,AAP,AAP,N,Consumer Cyclical,Yahoo Finance
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N,Technology,Yahoo Finance
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N,Real Estate,Yahoo Finance
Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,,AAU,AAU,N,N/A,Yahoo Finance
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100.0,N,N,,AAWW,N,N/A,Yahoo Finance
Y,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAXN,N,N/A,Yahoo Finance
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N,Financial Services,Yahoo Finance
Y,ABB,ABB Ltd Common Stock,N, ,N,100.0,N,,ABB,ABB,N,N/A,Yahoo Finance
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N,Healthcare,Yahoo Finance
Y,ABC,AmerisourceBergen Corporation Common Stock,N, ,N,100.0,N,,ABC,ABC,N,N/A,Yahoo Finance
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N,Financial Services,Yahoo Finance
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ABEO,N,Healthcare,Yahoo Finance
Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N,Consumer Defensive,Yahoo Finance
Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N,Consumer Cyclical,Yahoo Finance
Y,ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,ABIO,N,N/A,Yahoo Finance
Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N,Industrials,Yahoo Finance
Y,ABMD,"ABIOMED, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ABMD,N,N/A,Yahoo Finance
Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N,Real Estate,Yahoo Finance
Y,ABT,Abbott Laboratories Common Stock,N, ,N,100.0,N,,ABT,ABT,N,Healthcare,Yahoo Finance
Y,ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,G,N,100.0,N,N,,ABTX,N,N/A,Yahoo Finance
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABUS,N,Healthcare,Yahoo Finance
Y,AC,"Associated Capital Group, Inc. Common Stock",N, ,N,100.0,N,,AC,AC,N,Financial Services,Yahoo Finance
Y,ACA,"Arcosa, Inc. Common Stock ",N, ,N,100.0,N,,ACA,ACA,N,Industrials,Yahoo Finance
Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100.0,N,N,,ACAD,N,Healthcare,Yahoo Finance
Y,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,Q,S,N,100.0,N,N,,ACAM,N,N/A,Yahoo Finance
Y,ACAMU,Acamar Partners Acquisition Corp. - Units,Q,S,N,100.0,N,N,,ACAMU,N,N/A,Yahoo Finance
Y,ACB,Aurora Cannabis Inc. Common Shares,N, ,N,100.0,N,,ACB,ACB,N,Healthcare,Yahoo Finance
Y,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACBI,N,N/A,Yahoo Finance
Y,ACC,American Campus Communities Inc Common Stock,N, ,N,100.0,N,,ACC,ACC,N,N/A,Yahoo Finance
Y,ACCO,Acco Brands Corporation Common Stock,N, ,N,100.0,N,,ACCO,ACCO,N,Industrials,Yahoo Finance
Y,ACEL,"Accel Entertainment, Inc. ",N, ,N,100.0,N,,ACEL,ACEL,N,Consumer Cyclical,Yahoo Finance
Y,ACER,Acer Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ACER,N,N/A,Yahoo Finance
Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100.0,N,N,,ACGL,N,Financial Services,Yahoo Finance
Y,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,100.0,N,N,,ACGLO,N,Financial Services,Yahoo Finance
