Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N,Basic Materials,Yahoo Finance
Y,AEM,Agnico Eagle Mines Limited Common Stock,N, ,N,100.0,N,,AEM,AEM,N,Basic Materials,Yahoo Finance
Y,AG,First Majestic Silver Corp. Ordinary Shares (Canada),N, ,N,100.0,N,,AG,AG,N,Basic Materials,Yahoo Finance
Y,AGI,Alamos Gold Inc. Class A Common Shares,N, ,N,100.0,N,,AGI,AGI,N,Basic Materials,Yahoo Finance
Y,ALB,Albemarle Corporation Common Stock,N, ,N,100.0,N,,ALB,ALB,N,Basic Materials,Yahoo Finance
Y,AMTX,"Aemetis, Inc - Common Stock",Q,G,N,100.0,N,D,,AMTX,N,Basic Materials,Yahoo Finance
Y,APD,"Air Products and Chemicals, Inc. Common Stock",N, ,N,100.0,N,,APD,APD,N,Basic Materials,Yahoo Finance
Y,AREC,American Resources Corporation - Class A Common Stock,Q,S,N,100.0,N,D,,AREC,N,Basic Materials,Yahoo Finance
Y,ASH,Ashland Global Holdings Inc. Common Stock,N, ,N,100.0,N,,ASH,ASH,N,Basic Materials,Yahoo Finance
Y,ASIX,AdvanSix Inc. Common Stock ,N, ,N,100.0,N,,ASIX,ASIX,N,Basic Materials,Yahoo Finance
Y,ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),A, ,N,100.0,N,,ASM,ASM,N,Basic Materials,Yahoo Finance
Y,AU,AngloGold Ashanti Limited Common Stock,N, ,N,100.0,N,,AU,AU,N,Basic Materials,Yahoo Finance
Y,AUMN,Golden Minerals Company Common Stock,A, ,N,100.0,N,,AUMN,AUMN,N,Basic Materials,Yahoo Finance
Y,AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),N, ,N,100.0,N,,AVD,AVD,N,Basic Materials,Yahoo Finance
Y,AXTA,Axalta Coating Systems Ltd. Common Shares,N, ,N,100.0,N,,AXTA,AXTA,N,Basic Materials,Yahoo Finance
Y,B,"Barnes Group, Inc. Common Stock",N, ,N,100.0,N,,B,B,N,Basic Materials,Yahoo Finance
Y,BAK,Braskem SA ADR,N, ,N,100.0,N,,BAK,BAK,N,Basic Materials,Yahoo Finance
Y,BCC,"Boise Cascade, L.L.C. Common Stock",N, ,N,100.0,N,,BCC,BCC,N,Basic Materials,Yahoo Finance
Y,BCPC,Balchem Corporation - Common Stock,Q,Q,N,100.0,N,N,,BCPC,N,Basic Materials,Yahoo Finance
Y,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N, ,N,100.0,N,,BHP,BHP,N,Basic Materials,Yahoo Finance
Y,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,A, ,N,100.0,N,,BIOX,BIOX,N,Basic Materials,Yahoo Finance
Y,BTG,B2Gold Corp Common shares (Canada),A, ,N,100.0,N,,BTG,BTG,N,Basic Materials,Yahoo Finance
Y,BVN,Buenaventura Mining Company Inc.,N, ,N,100.0,N,,BVN,BVN,N,Basic Materials,Yahoo Finance
Y,CBT,Cabot Corporation Common Stock,N, ,N,100.0,N,,CBT,CBT,N,Basic Materials,Yahoo Finance
Y,CC,Chemours Company (The) Common Stock,N, ,N,100.0,N,,CC,CC,N,Basic Materials,Yahoo Finance
Y,CDE,"Coeur Mining, Inc. Common Stock",N, ,N,100.0,N,,CDE,CDE,N,Basic Materials,Yahoo Finance
