Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",N, ,N,100.0,N,,AMC,AMC,N,Communication Services,Yahoo Finance
Y,AMCX,AMC Networks Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,AMCX,N,Communication Services,Yahoo Finance
Y,AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",N, ,N,100.0,N,,AMX,AMX,N,Communication Services,Yahoo Finance
Y,ANGI,ANGI Homeservices Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,ANGI,N,Communication Services,Yahoo Finance
Y,ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",Q,S,N,100.0,N,N,,ANTE,N,Communication Services,Yahoo Finance
Y,ATEX,Anterix Inc. - Common Stock,Q,S,N,100.0,N,N,,ATEX,N,Communication Services,Yahoo Finance
Y,ATHM,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share.",N, ,N,100.0,N,,ATHM,ATHM,N,Communication Services,Yahoo Finance
Y,ATNI,"ATN International, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ATNI,N,Communication Services,Yahoo Finance
Y,ATUS,"Altice USA, Inc. Class A Common Stock",N, ,N,100.0,N,,ATUS,ATUS,N,Communication Services,Yahoo Finance
Y,BATRA,Liberty Media Corporation - Series A Liberty Braves Common Stock,Q,Q,N,100.0,N,N,,BATRA,N,Communication Services,Yahoo Finance
Y,BATRK,Liberty Media Corporation - Series C Liberty Braves Common Stock,Q,Q,N,100.0,N,N,,BATRK,N,Communication Services,Yahoo Finance
Y,BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,BBGI,N,Communication Services,Yahoo Finance
Y,BCE,"BCE, Inc. Common Stock",N, ,N,100.0,N,,BCE,BCE,N,Communication Services,Yahoo Finance
Y,BHAT,Blue Hat Interactive Entertainment Technology - Ordinary Shares,Q,S,N,100.0,N,N,,BHAT,N,Communication Services,Yahoo Finance
Y,BIDU,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share",Q,Q,N,100.0,N,N,,BIDU,N,Communication Services,Yahoo Finance
Y,BILI,Bilibili Inc. - American Depositary Shares,Q,Q,N,100.0,N,N,,BILI,N,Communication Services,Yahoo Finance
Y,CABO,"Cable One, Inc. Common Stock",N, ,N,100.0,N,,CABO,CABO,N,Communication Services,Yahoo Finance
Y,CARS,Cars.com Inc. Common Stock ,N, ,N,100.0,N,,CARS,CARS,N,Communication Services,Yahoo Finance
Y,CCO,"Clear Channel Outdoor Holdings, Inc. Common Stock",N, ,N,100.0,N,,CCO,CCO,N,Communication Services,Yahoo Finance
Y,CCOI,"Cogent Communications Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CCOI,N,Communication Services,Yahoo Finance
Y,CDLX,"Cardlytics, Inc. - Common Stock",Q,G,N,100.0,N,N,,CDLX,N,Communication Services,Yahoo Finance
Y,CHT,"Chunghwa Telecom Co., Ltd.",N, ,N,100.0,N,,CHT,CHT,N,Communication Services,Yahoo Finance
Y,CHTR,"Charter Communications, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,CHTR,N,Communication Services,Yahoo Finance
Y,CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing 10 Class Ordinary Shares",N, ,N,100.0,N,,CMCM,CMCM,N,Communication Services,Yahoo Finance
Y,CMCSA,Comcast Corporation - Class A Common Stock,Q,Q,N,100.0,N,N,,CMCSA,N,Communication Services,Yahoo Finance
Y,CMLS,Cumulus Media Inc. - Class A Common Stock,Q,G,N,100.0,N,N,,CMLS,N,Communication Services,Yahoo Finance
Y,CNET,"ChinaNet Online Holdings, Inc. - Common Stock",Q,S,N,100.0,N,N,,CNET,N,Communication Services,Yahoo Finance
Y,CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",N, ,N,100.0,N,,CNK,CNK,N,Communication Services,Yahoo Finance
Y,CRTO,Criteo S.A. - American Depositary Shares,Q,Q,N,100.0,N,N,,CRTO,N,Communication Services,Yahoo Finance
Y,DGLY,"Digital Ally, Inc. - Common Stock",Q,S,N,100.0,N,D,,DGLY,N,Communication Services,Yahoo Finance
Y,DIS,Walt Disney Company (The) Common Stock,N, ,N,100.0,N,,DIS,DIS,N,Communication Services,Yahoo Finance
Y,DLPN,"Dolphin Entertainment, Inc. - Common Stock",Q,S,N,100.0,N,D,,DLPN,N,Communication Services,Yahoo Finance
Y,DOYU,DouYu International Holdings Limited - American Depositary Shares,Q,Q,N,100.0,N,N,,DOYU,N,Communication Services,Yahoo Finance
Y,EA,Electronic Arts Inc. - Common Stock,Q,Q,N,100.0,N,N,,EA,N,Communication Services,Yahoo Finance
Y,EB,"Eventbrite, Inc. Class A Common Stock",N, ,N,100.0,N,,EB,EB,N,Communication Services,Yahoo Finance
Y,EDUC,Educational Development Corporation - Common Stock,Q,G,N,100.0,N,N,,EDUC,N,Communication Services,Yahoo Finance
Y,EEX,"Emerald Holding, Inc. Common Stock",N, ,N,100.0,N,,EEX,EEX,N,Communication Services,Yahoo Finance
Y,EMMS,Emmis Communications Corporation - Class A Common Stock,Q,Q,N,100.0,N,N,,EMMS,N,Communication Services,Yahoo Finance
Y,EVC,Entravision Communications Corporation Common Stock,N, ,N,100.0,N,,EVC,EVC,N,Communication Services,Yahoo Finance
Y,EVER,"EverQuote, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,EVER,N,Communication Services,Yahoo Finance
Y,FENG,"Phoenix New Media Limited American Depositary Shares, each representing 8 Class A ordinary shares.",N, ,N,100.0,N,,FENG,FENG,N,Communication Services,Yahoo Finance
Y,FLNT,"Fluent, Inc. - Common Stock",Q,G,N,100.0,N,N,,FLNT,N,Communication Services,Yahoo Finance
Y,FOX,Fox Corporation - Class B Common Stock,Q,Q,N,100.0,N,N,,FOX,N,Communication Services,Yahoo Finance
