Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,,AAP,AAP,N,Consumer Cyclical,Yahoo Finance
Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N,Consumer Cyclical,Yahoo Finance
Y,ACEL,"Accel Entertainment, Inc. ",N, ,N,100.0,N,,ACEL,ACEL,N,Consumer Cyclical,Yahoo Finance
Y,ADNT,Adient plc Ordinary Shares ,N, ,N,100.0,N,,ADNT,ADNT,N,Consumer Cyclical,Yahoo Finance
Y,AEO,"American Eagle Outfitters, Inc. Common Stock",N, ,N,100.0,N,,AEO,AEO,N,Consumer Cyclical,Yahoo Finance
Y,AIN,Albany International Corporation Common Stock,N, ,N,100.0,N,,AIN,AIN,N,Consumer Cyclical,Yahoo Finance
Y,ALSN,"Allison Transmission Holdings, Inc. Common Stock",N, ,N,100.0,N,,ALSN,ALSN,N,Consumer Cyclical,Yahoo Finance
Y,ALV,"Autoliv, Inc. Common Stock",N, ,N,100.0,N,,ALV,ALV,N,Consumer Cyclical,Yahoo Finance
Y,AMCR,Amcor plc Ordinary Shares,N, ,N,100.0,N,,AMCR,AMCR,N,Consumer Cyclical,Yahoo Finance
Y,AMWD,American Woodmark Corporation - Common Stock,Q,Q,N,100.0,N,N,,AMWD,N,Consumer Cyclical,Yahoo Finance
Y,AMZN,"Amazon.com, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMZN,N,Consumer Cyclical,Yahoo Finance
Y,AN,"AutoNation, Inc. Common Stock",N, ,N,100.0,N,,AN,AN,N,Consumer Cyclical,Yahoo Finance
Y,ANF,Abercrombie & Fitch Company Common Stock,N, ,N,100.0,N,,ANF,ANF,N,Consumer Cyclical,Yahoo Finance
Y,APTV,Aptiv PLC Ordinary Shares,N, ,N,100.0,N,,APTV,APTV,N,Consumer Cyclical,Yahoo Finance
Y,ARCO,Arcos Dorados Holdings Inc. Class A Shares,N, ,N,100.0,N,,ARCO,ARCO,N,Consumer Cyclical,Yahoo Finance
Y,ARKR,Ark Restaurants Corp. - Common Stock,Q,G,N,100.0,N,N,,ARKR,N,Consumer Cyclical,Yahoo Finance
Y,AVY,Avery Dennison Corporation Common Stock,N, ,N,100.0,N,,AVY,AVY,N,Consumer Cyclical,Yahoo Finance
Y,AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",N, ,N,100.0,N,,AXL,AXL,N,Consumer Cyclical,Yahoo Finance
Y,AZO,"AutoZone, Inc. Common Stock",N, ,N,100.0,N,,AZO,AZO,N,Consumer Cyclical,Yahoo Finance
Y,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N, ,N,100.0,N,,BABA,BABA,N,Consumer Cyclical,Yahoo Finance
Y,BBW,"Build-A-Bear Workshop, Inc. Common Stock",N, ,N,100.0,N,,BBW,BBW,N,Consumer Cyclical,Yahoo Finance
Y,BBY,"Best Buy Co., Inc. Common Stock",N, ,N,100.0,N,,BBY,BBY,N,Consumer Cyclical,Yahoo Finance
Y,BC,Brunswick Corporation Common Stock,N, ,N,100.0,N,,BC,BC,N,Consumer Cyclical,Yahoo Finance
