Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100.0,N,N,,AACG,N,Consumer Defensive,Yahoo Finance
Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N,Consumer Defensive,Yahoo Finance
Y,ACU,Acme United Corporation. Common Stock,A, ,N,100.0,N,,ACU,ACU,N,Consumer Defensive,Yahoo Finance
Y,ADM,Archer-Daniels-Midland Company Common Stock,N, ,N,100.0,N,,ADM,ADM,N,Consumer Defensive,Yahoo Finance
Y,AFYA,Afya Limited - Class A Common Shares,Q,Q,N,100.0,N,N,,AFYA,N,Consumer Defensive,Yahoo Finance
Y,AGRO,Adecoagro S.A. Common Shares,N, ,N,100.0,N,,AGRO,AGRO,N,Consumer Defensive,Yahoo Finance
Y,ALCO,"Alico, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ALCO,N,Consumer Defensive,Yahoo Finance
Y,AMBO,"Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shares",A, ,N,100.0,N,,AMBO,AMBO,N,Consumer Defensive,Yahoo Finance
Y,ANDE,"The Andersons, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ANDE,N,Consumer Defensive,Yahoo Finance
Y,APEI,"American Public Education, Inc. - Common Stock",Q,Q,N,100.0,N,N,,APEI,N,Consumer Defensive,Yahoo Finance
Y,AQB,"AquaBounty Technologies, Inc. - Common Stock",Q,S,N,100.0,N,N,,AQB,N,Consumer Defensive,Yahoo Finance
Y,ASPU,Aspen Group Inc. - Common Stock,Q,G,N,100.0,N,N,,ASPU,N,Consumer Defensive,Yahoo Finance
Y,ATGE,Adtalem Global Education Inc. Common Stock,N, ,N,100.0,N,,ATGE,ATGE,N,Consumer Defensive,Yahoo Finance
Y,BEDU,"Bright Scholar Education Holdings Limited American Depositary Shares, each  representing one Class A Ordinary Share",N, ,N,100.0,N,,BEDU,BEDU,N,Consumer Defensive,Yahoo Finance
Y,BG,Bunge Limited Bunge Limited,N, ,N,100.0,N,,BG,BG,N,Consumer Defensive,Yahoo Finance
Y,BGS,"B&G Foods, Inc. B&G Foods, Inc. Common Stock",N, ,N,100.0,N,,BGS,BGS,N,Consumer Defensive,Yahoo Finance
Y,BJ,"BJ's Wholesale Club Holdings, Inc. Common Stock",N, ,N,100.0,N,,BJ,BJ,N,Consumer Defensive,Yahoo Finance
Y,BRBR,"BellRing Brands, Inc. Class A Common Stock",N, ,N,100.0,N,,BRBR,BRBR,N,Consumer Defensive,Yahoo Finance
Y,BRFS,BRF S.A.,N, ,N,100.0,N,,BRFS,BRFS,N,Consumer Defensive,Yahoo Finance
Y,BRID,Bridgford Foods Corporation - Common Stock,Q,G,N,100.0,N,N,,BRID,N,Consumer Defensive,Yahoo Finance
Y,BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",N, ,N,100.0,N,,BTI,BTI,N,Consumer Defensive,Yahoo Finance
Y,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),N, ,N,100.0,N,,BUD,BUD,N,Consumer Defensive,Yahoo Finance
Y,BYND,"Beyond Meat, Inc. - Common stock",Q,Q,N,100.0,N,N,,BYND,N,Consumer Defensive,Yahoo Finance
Y,CAG,"ConAgra Brands, Inc. Common Stock",N, ,N,100.0,N,,CAG,CAG,N,Consumer Defensive,Yahoo Finance
Y,CALM,"Cal-Maine Foods, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CALM,N,Consumer Defensive,Yahoo Finance
