Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AM,Antero Midstream Corporation Common Stock,N, ,N,100.0,N,,AM,AM,N,Energy,Yahoo Finance
Y,AMPY,Amplify Energy Corp. Common Stock,N, ,N,100.0,N,,AMPY,AMPY,N,Energy,Yahoo Finance
Y,APA,Apache Corporation Common Stock,N, ,N,100.0,N,,APA,APA,N,Energy,Yahoo Finance
Y,AR,Antero Resources Corporation Common Stock,N, ,N,100.0,N,,AR,AR,N,Energy,Yahoo Finance
Y,ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,Q,N,100.0,N,N,,ARLP,N,Energy,Yahoo Finance
Y,AROC,"Archrock, Inc. Common Stock",N, ,N,100.0,N,,AROC,AROC,N,Energy,Yahoo Finance
Y,BATL,Battalion Oil Corporation Common Stock,A, ,N,100.0,N,,BATL,BATL,N,Energy,Yahoo Finance
Y,BKR,Baker Hughes Company Class A Common Stock,N, ,N,100.0,N,,BKR,BKR,N,Energy,Yahoo Finance
Y,BORR,Borr Drilling Limited Common Shares,N, ,N,100.0,N,,BORR,BORR,N,Energy,Yahoo Finance
Y,BP,BP p.l.c. Common Stock,N, ,N,100.0,N,,BP,BP,N,Energy,Yahoo Finance
Y,BRN,"Barnwell Industries, Inc. Common Stock",A, ,N,100.0,N,,BRN,BRN,N,Energy,Yahoo Finance
Y,BRY,Berry Corporation (bry) - Common Stock,Q,Q,N,100.0,N,N,,BRY,N,Energy,Yahoo Finance
Y,BSM,"Black Stone Minerals, L.P. Common units representing limited partner interests",N, ,N,100.0,N,,BSM,BSM,N,Energy,Yahoo Finance
Y,BTE,Baytex Energy Corp,N, ,N,100.0,N,,BTE,BTE,N,Energy,Yahoo Finance
Y,BTU,Peabody Energy Corporation Common Stock ,N, ,N,100.0,N,,BTU,BTU,N,Energy,Yahoo Finance
Y,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,N, ,N,100.0,N,,CAPL,CAPL,N,Energy,Yahoo Finance
Y,CCJ,Cameco Corporation Common Stock,N, ,N,100.0,N,,CCJ,CCJ,N,Energy,Yahoo Finance
Y,CKX,"CKX Lands, Inc. Common Stock",A, ,N,100.0,N,,CKX,CKX,N,Energy,Yahoo Finance
Y,CLB,Core Laboratories N.V. Common Stock,N, ,N,100.0,N,,CLB,CLB,N,Energy,Yahoo Finance
