Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,N,,AAME,N,Financial Services,Yahoo Finance
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N,Financial Services,Yahoo Finance
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N,Financial Services,Yahoo Finance
Y,AC,"Associated Capital Group, Inc. Common Stock",N, ,N,100.0,N,,AC,AC,N,Financial Services,Yahoo Finance
Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100.0,N,N,,ACGL,N,Financial Services,Yahoo Finance
Y,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,100.0,N,N,,ACGLO,N,Financial Services,Yahoo Finance
Y,ACNB,ACNB Corporation - Common Stock,Q,S,N,100.0,N,N,,ACNB,N,Financial Services,Yahoo Finance
Y,ACP,Aberdeen Income Credit Strategies Fund Common Shares,N, ,N,100.0,N,,ACP,ACP,N,Financial Services,Yahoo Finance
Y,ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ACV,ACV,N,Financial Services,Yahoo Finance
Y,ADX,Adams Diversified Equity Fund Inc.,N, ,N,100.0,N,,ADX,ADX,N,Financial Services,Yahoo Finance
Y,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock",A, ,N,100.0,N,,AEF,AEF,N,Financial Services,Yahoo Finance
Y,AEG,AEGON N.V. Common Stock,N, ,N,100.0,N,,AEG,AEG,N,Financial Services,Yahoo Finance
Y,AFB,AllianceBernstein National Municipal Income Fund Inc,N, ,N,100.0,N,,AFB,AFB,N,Financial Services,Yahoo Finance
Y,AFG,"American Financial Group, Inc. Common Stock",N, ,N,100.0,N,,AFG,AFG,N,Financial Services,Yahoo Finance
Y,AFL,AFLAC Incorporated Common Stock,N, ,N,100.0,N,,AFL,AFL,N,Financial Services,Yahoo Finance
Y,AGD,Aberdeen Global Dynamic Dividend Fund,N, ,N,100.0,N,,AGD,AGD,N,Financial Services,Yahoo Finance
Y,AGM,Federal Agricultural Mortgage Corporation Common Stock,N, ,N,100.0,N,,AGM,AGM,N,Financial Services,Yahoo Finance
Y,AGO,Assured Guaranty Ltd. Common Stock,N, ,N,100.0,N,,AGO,AGO,N,Financial Services,Yahoo Finance
Y,AIG,"American International Group, Inc. New Common Stock",N, ,N,100.0,N,,AIG,AIG,N,Financial Services,Yahoo Finance
Y,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,N, ,N,100.0,N,,AIO,AIO,N,Financial Services,Yahoo Finance
Y,AIZ,"Assurant, Inc. Common Stock",N, ,N,100.0,N,,AIZ,AIZ,N,Financial Services,Yahoo Finance
Y,AJG,Arthur J. Gallagher & Co. Common Stock,N, ,N,100.0,N,,AJG,AJG,N,Financial Services,Yahoo Finance
Y,ALL,Allstate Corporation (The) Common Stock,N, ,N,100.0,N,,ALL,ALL,N,Financial Services,Yahoo Finance
Y,ALLY,Ally Financial Inc. Common Stock,N, ,N,100.0,N,,ALLY,ALLY,N,Financial Services,Yahoo Finance
Y,ALRS,Alerus Financial Corporation - Common Stock,Q,S,N,100.0,N,N,,ALRS,N,Financial Services,Yahoo Finance
Y,AMAL,Amalgamated Bank - Class A Common Stock,Q,G,N,100.0,N,N,,AMAL,N,Financial Services,Yahoo Finance
Y,AMBC,"Ambac Financial Group, Inc. Common Stock",N, ,N,100.0,N,,AMBC,AMBC,N,Financial Services,Yahoo Finance
Y,AMG,"Affiliated Managers Group, Inc. Common Stock",N, ,N,100.0,N,,AMG,AMG,N,Financial Services,Yahoo Finance
Y,AMP,"Ameriprise Financial, Inc. Common Stock",N, ,N,100.0,N,,AMP,AMP,N,Financial Services,Yahoo Finance
Y,AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMRK,N,Financial Services,Yahoo Finance
Y,AMSF,"AMERISAFE, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMSF,N,Financial Services,Yahoo Finance
Y,AMTB,Amerant Bancorp Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,AMTB,N,Financial Services,Yahoo Finance
Y,AMTD,TD Ameritrade Holding Corporation - Common Stock,Q,Q,N,100.0,N,N,,AMTD,N,Financial Services,Yahoo Finance
Y,ANY,Sphere 3D Corp. - Common Shares,Q,S,N,100.0,N,D,,ANY,N,Financial Services,Yahoo Finance
Y,AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,N, ,N,100.0,N,,AOD,AOD,N,Financial Services,Yahoo Finance
Y,AON,Aon plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,,AON,AON,N,Financial Services,Yahoo Finance
Y,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,N, ,N,100.0,N,,APAM,APAM,N,Financial Services,Yahoo Finance
Y,APO,"Apollo Global Management, Inc. Class A Common Stock",N, ,N,100.0,N,,APO,APO,N,Financial Services,Yahoo Finance
Y,APXTU,Apex Technology Acquisition Corporation - Unit,Q,S,N,100.0,N,N,,APXTU,N,Financial Services,Yahoo Finance
Y,ARCC,Ares Capital Corporation - Closed End Fund,Q,Q,N,100.0,N,N,,ARCC,N,Financial Services,Yahoo Finance
Y,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",N, ,N,100.0,N,,ARDC,ARDC,N,Financial Services,Yahoo Finance
Y,ARES,Ares Management Corporation Class A Common Stock,N, ,N,100.0,N,,ARES,ARES,N,Financial Services,Yahoo Finance
Y,AROW,Arrow Financial Corporation - Common Stock,Q,Q,N,100.0,N,N,,AROW,N,Financial Services,Yahoo Finance
Y,ASA,ASA  Gold and Precious Metals Limited,N, ,N,100.0,N,,ASA,ASA,N,Financial Services,Yahoo Finance
Y,ASB,Associated Banc-Corp Common Stock,N, ,N,100.0,N,,ASB,ASB,N,Financial Services,Yahoo Finance
Y,ASG,"Liberty All-Star Growth Fund, Inc.",N, ,N,100.0,N,,ASG,ASG,N,Financial Services,Yahoo Finance
Y,ASRV,AmeriServ Financial Inc. - Common Stock,Q,G,N,100.0,N,N,,ASRV,N,Financial Services,Yahoo Finance
Y,ATLC,Atlanticus Holdings Corporation - Common Stock,Q,Q,N,100.0,N,N,,ATLC,N,Financial Services,Yahoo Finance
Y,ATLO,Ames National Corporation - Common Stock,Q,S,N,100.0,N,N,,ATLO,N,Financial Services,Yahoo Finance
Y,AUB,Atlantic Union Bankshares Corporation - Common Stock,Q,Q,N,100.0,N,N,,AUB,N,Financial Services,Yahoo Finance
Y,AUBN,"Auburn National Bancorporation, Inc. - Common Stock",Q,G,N,100.0,N,N,,AUBN,N,Financial Services,Yahoo Finance
Y,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),N, ,N,100.0,N,,AVAL,AVAL,N,Financial Services,Yahoo Finance
Y,AVK,Advent Convertible and Income Fund,N, ,N,100.0,N,,AVK,AVK,N,Financial Services,Yahoo Finance
Y,AWF,Alliancebernstein Global High Income Fund,N, ,N,100.0,N,,AWF,AWF,N,Financial Services,Yahoo Finance
Y,AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,AWP,AWP,N,Financial Services,Yahoo Finance
Y,AX,"Axos Financial, Inc. Common Stock",N, ,N,100.0,N,,AX,AX,N,Financial Services,Yahoo Finance
Y,AXP,American Express Company Common Stock,N, ,N,100.0,N,,AXP,AXP,N,Financial Services,Yahoo Finance
Y,AXS,Axis Capital Holdings Limited Common Stock,N, ,N,100.0,N,,AXS,AXS,N,Financial Services,Yahoo Finance
Y,BAC,Bank of America Corporation Common Stock,N, ,N,100.0,N,,BAC,BAC,N,Financial Services,Yahoo Finance
Y,BAM,Brookfield Asset Management Inc. Common Stock,N, ,N,100.0,N,,BAM,BAM,N,Financial Services,Yahoo Finance
Y,BANC,"Banc of California, Inc. Common Stock",N, ,N,100.0,N,,BANC,BANC,N,Financial Services,Yahoo Finance
Y,BANF,BancFirst Corporation - Common Stock,Q,Q,N,100.0,N,N,,BANF,N,Financial Services,Yahoo Finance
Y,BANR,Banner Corporation - Common Stock,Q,Q,N,100.0,N,N,,BANR,N,Financial Services,Yahoo Finance
Y,BANX,StoneCastle Financial Corp - Common Stock,Q,Q,N,100.0,N,N,,BANX,N,Financial Services,Yahoo Finance
Y,BAP,Credicorp Ltd. Common Stock,N, ,N,100.0,N,,BAP,BAP,N,Financial Services,Yahoo Finance
Y,BBAR,Banco BBVA Argentina S.A. ADS,N, ,N,100.0,N,,BBAR,BBAR,N,Financial Services,Yahoo Finance
Y,BBD,Banco Bradesco Sa American Depositary Shares,N, ,N,100.0,N,,BBD,BBD,N,Financial Services,Yahoo Finance
Y,BBDC,"Barings BDC, Inc. Common Stock",N, ,N,100.0,N,,BBDC,BBDC,N,Financial Services,Yahoo Finance
Y,BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),N, ,N,100.0,N,,BBDO,BBDO,N,Financial Services,Yahoo Finance
Y,BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,BBN,BBN,N,Financial Services,Yahoo Finance
Y,BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,N, ,N,100.0,N,,BBVA,BBVA,N,Financial Services,Yahoo Finance
Y,BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",Q,G,N,100.0,N,N,,BCBP,N,Financial Services,Yahoo Finance
Y,BCH,Banco De Chile Banco De Chile ADS,N, ,N,100.0,N,,BCH,BCH,N,Financial Services,Yahoo Finance
Y,BCML,BayCom Corp - Common Stock,Q,Q,N,100.0,N,N,,BCML,N,Financial Services,Yahoo Finance
Y,BCOW,"1895 Bancorp of Wisconsin, Inc. - Common Stock",Q,S,N,100.0,N,N,,BCOW,N,Financial Services,Yahoo Finance
Y,BCS,Barclays PLC Common Stock,N, ,N,100.0,N,,BCS,BCS,N,Financial Services,Yahoo Finance
Y,BCSF,"Bain Capital Specialty Finance, Inc. Common Stock",N, ,N,100.0,N,,BCSF,BCSF,N,Financial Services,Yahoo Finance
Y,BCTF,"Bancorp 34, Inc. - Common Stock",Q,S,N,100.0,N,N,,BCTF,N,Financial Services,Yahoo Finance
Y,BCV,"Bancroft Fund, Ltd.",A, ,N,100.0,N,,BCV,BCV,N,Financial Services,Yahoo Finance
Y,BCX,BlackRock Resources Common Shares of Beneficial Interest,N, ,N,100.0,N,,BCX,BCX,N,Financial Services,Yahoo Finance
Y,BDJ,Blackrock Enhanced Equity Dividend Trust,N, ,N,100.0,N,,BDJ,BDJ,N,Financial Services,Yahoo Finance
Y,BEN,"Franklin Resources, Inc. Common Stock",N, ,N,100.0,N,,BEN,BEN,N,Financial Services,Yahoo Finance
Y,BFC,Bank First Corporation - Common Stock,Q,S,N,100.0,N,N,,BFC,N,Financial Services,Yahoo Finance
Y,BFIN,BankFinancial Corporation - Common Stock,Q,Q,N,100.0,N,N,,BFIN,N,Financial Services,Yahoo Finance
Y,BFK,BlackRock Municipal Income Trust,N, ,N,100.0,N,,BFK,BFK,N,Financial Services,Yahoo Finance
Y,BFST,"Business First Bancshares, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BFST,N,Financial Services,Yahoo Finance
Y,BFZ,BlackRock California Municipal Income Trust,N, ,N,100.0,N,,BFZ,BFZ,N,Financial Services,Yahoo Finance
Y,BGB,Blackstone / GSO Strategic Credit Fund Common Shares,N, ,N,100.0,N,,BGB,BGB,N,Financial Services,Yahoo Finance
Y,BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,N, ,N,100.0,N,,BGH,BGH,N,Financial Services,Yahoo Finance
Y,BGR,BlackRock Energy and Resources Trust,N, ,N,100.0,N,,BGR,BGR,N,Financial Services,Yahoo Finance
Y,BGT,BlackRock Floating Rate Income Trust,N, ,N,100.0,N,,BGT,BGT,N,Financial Services,Yahoo Finance
Y,BGX,Blackstone GSO Long Short Credit Income Fund Common Shares,N, ,N,100.0,N,,BGX,BGX,N,Financial Services,Yahoo Finance
Y,BGY,Blackrock Enhanced International Dividend Trust,N, ,N,100.0,N,,BGY,BGY,N,Financial Services,Yahoo Finance
Y,BHB,"Bar Harbor Bankshares, Inc. Common Stock",A, ,N,100.0,N,,BHB,BHB,N,Financial Services,Yahoo Finance
