Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N,Healthcare,Yahoo Finance
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N,Healthcare,Yahoo Finance
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ABEO,N,Healthcare,Yahoo Finance
Y,ABT,Abbott Laboratories Common Stock,N, ,N,100.0,N,,ABT,ABT,N,Healthcare,Yahoo Finance
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABUS,N,Healthcare,Yahoo Finance
Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100.0,N,N,,ACAD,N,Healthcare,Yahoo Finance
Y,ACB,Aurora Cannabis Inc. Common Shares,N, ,N,100.0,N,,ACB,ACB,N,Healthcare,Yahoo Finance
Y,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACHC,N,Healthcare,Yahoo Finance
Y,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,100.0,N,D,,ACHV,N,Healthcare,Yahoo Finance
Y,ACIU,AC Immune SA - Common Stock,Q,G,N,100.0,N,N,,ACIU,N,Healthcare,Yahoo Finance
Y,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACRS,N,Healthcare,Yahoo Finance
Y,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,Q,N,100.0,N,N,,ADAP,N,Healthcare,Yahoo Finance
Y,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,S,N,100.0,N,N,,ADIL,N,Healthcare,Yahoo Finance
Y,ADMA,ADMA Biologics Inc - Common Stock,Q,G,N,100.0,N,N,,ADMA,N,Healthcare,Yahoo Finance
Y,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Q,N,100.0,N,N,,ADPT,N,Healthcare,Yahoo Finance
Y,ADUS,Addus HomeCare Corporation - Common Stock,Q,Q,N,100.0,N,E,,ADUS,N,Healthcare,Yahoo Finance
Y,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Q,G,N,100.0,N,N,,ADVM,N,Healthcare,Yahoo Finance
Y,ADXN,Addex Therapeutics Ltd - American Depositary Shares,Q,S,N,100.0,N,N,,ADXN,N,Healthcare,Yahoo Finance
Y,ADXS,"Advaxis, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADXS,N,Healthcare,Yahoo Finance
Y,AEMD,"Aethlon Medical, Inc. - Common Stock",Q,S,N,100.0,N,N,,AEMD,N,Healthcare,Yahoo Finance
Y,AGEN,Agenus Inc. - Common Stock,Q,S,N,100.0,N,N,,AGEN,N,Healthcare,Yahoo Finance
Y,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AGIO,N,Healthcare,Yahoo Finance
Y,AHCO,AdaptHealth Corp.  - Class A Common Stock,Q,S,N,100.0,N,N,,AHCO,N,Healthcare,Yahoo Finance
Y,AIM,AIM ImmunoTech Inc. Common Stock,A, ,N,100.0,N,,AIM,AIM,N,Healthcare,Yahoo Finance
Y,AKBA,"Akebia Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AKBA,N,Healthcare,Yahoo Finance
Y,AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AKRO,N,Healthcare,Yahoo Finance
