Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N,Industrials,Yahoo Finance
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N,Industrials,Yahoo Finance
Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N,Industrials,Yahoo Finance
Y,ACA,"Arcosa, Inc. Common Stock ",N, ,N,100.0,N,,ACA,ACA,N,Industrials,Yahoo Finance
Y,ACCO,Acco Brands Corporation Common Stock,N, ,N,100.0,N,,ACCO,ACCO,N,Industrials,Yahoo Finance
Y,ACM,AECOM Common Stock,N, ,N,100.0,N,,ACM,ACM,N,Industrials,Yahoo Finance
Y,ACTG,Acacia Research Corporation - Common Stock,Q,Q,N,100.0,N,N,,ACTG,N,Industrials,Yahoo Finance
Y,ADT,ADT Inc. Common Stock,N, ,N,100.0,N,,ADT,ADT,N,Industrials,Yahoo Finance
Y,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AEIS,N,Industrials,Yahoo Finance
Y,AER,AerCap Holdings N.V. Ordinary Shares,N, ,N,100.0,N,,AER,AER,N,Industrials,Yahoo Finance
Y,AGCO,AGCO Corporation Common Stock,N, ,N,100.0,N,,AGCO,AGCO,N,Industrials,Yahoo Finance
Y,AGX,"Argan, Inc. Common Stock",N, ,N,100.0,N,,AGX,AGX,N,Industrials,Yahoo Finance
Y,AIHS,Senmiao Technology Limited - Common Stock,Q,S,N,100.0,N,D,,AIHS,N,Industrials,Yahoo Finance
Y,AIR,AAR Corp. Common Stock,N, ,N,100.0,N,,AIR,AIR,N,Industrials,Yahoo Finance
Y,AIRI,Air Industries Group Common Stock,A, ,N,100.0,N,,AIRI,AIRI,N,Industrials,Yahoo Finance
Y,AIRT,"Air T, Inc. - Common Stock",Q,G,N,100.0,N,N,,AIRT,N,Industrials,Yahoo Finance
Y,AIRTP,"Air T, Inc. - Trust Preferred Securities",Q,G,N,100.0,N,N,,AIRTP,N,Industrials,Yahoo Finance
Y,AIT,"Applied Industrial Technologies, Inc. Common Stock",N, ,N,100.0,N,,AIT,AIT,N,Industrials,Yahoo Finance
Y,AL,Air Lease Corporation Class A Common Stock,N, ,N,100.0,N,,AL,AL,N,Industrials,Yahoo Finance
Y,ALG,"Alamo Group, Inc. Common Stock",N, ,N,100.0,N,,ALG,ALG,N,Industrials,Yahoo Finance
Y,ALGT,Allegiant Travel Company - Common Stock,Q,Q,N,100.0,N,N,,ALGT,N,Industrials,Yahoo Finance
Y,ALK,"Alaska Air Group, Inc. Common Stock",N, ,N,100.0,N,,ALK,ALK,N,Industrials,Yahoo Finance
Y,ALLE,Allegion plc Ordinary Shares,N, ,N,100.0,N,,ALLE,ALLE,N,Industrials,Yahoo Finance
Y,ALTG,Alta Equipment Group Inc. Class A Common Stock,N, ,N,100.0,N,,ALTG,ALTG,N,Industrials,Yahoo Finance
Y,AME,"AMETEK, Inc.",N, ,N,100.0,N,,AME,AME,N,Industrials,Yahoo Finance
Y,AMRC,"Ameresco, Inc. Class A Common Stock",N, ,N,100.0,N,,AMRC,AMRC,N,Industrials,Yahoo Finance
Y,AMSC,American Superconductor Corporation - Common Stock,Q,Q,N,100.0,N,N,,AMSC,N,Industrials,Yahoo Finance
Y,AOS,A.O. Smith Corporation Common Stock,N, ,N,100.0,N,,AOS,AOS,N,Industrials,Yahoo Finance
Y,AP,Ampco-Pittsburgh Corporation Common Stock,N, ,N,100.0,N,,AP,AP,N,Industrials,Yahoo Finance
Y,APOG,"Apogee Enterprises, Inc. - Common Stock",Q,Q,N,100.0,N,N,,APOG,N,Industrials,Yahoo Finance
Y,APT,"Alpha Pro Tech, Ltd. Common Stock",A, ,N,100.0,N,,APT,APT,N,Industrials,Yahoo Finance
Y,APWC,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",Q,G,N,100.0,N,D,,APWC,N,Industrials,Yahoo Finance
Y,AQMS,"Aqua Metals, Inc. - Common Stock",Q,S,N,100.0,N,D,,AQMS,N,Industrials,Yahoo Finance
Y,ARCB,ArcBest Corporation - Common Stock,Q,Q,N,100.0,N,N,,ARCB,N,Industrials,Yahoo Finance
Y,ARLO,"Arlo Technologies, Inc. Common Stock",N, ,N,100.0,N,,ARLO,ARLO,N,Industrials,Yahoo Finance
Y,ARMK,Aramark Common Stock,N, ,N,100.0,N,,ARMK,ARMK,N,Industrials,Yahoo Finance
Y,ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",Q,S,N,100.0,N,N,,ARTW,N,Industrials,Yahoo Finance
Y,ASC,Ardmore Shipping Corporation Common Stock,N, ,N,100.0,N,,ASC,ASC,N,Industrials,Yahoo Finance
Y,ASPN,"Aspen Aerogels, Inc. Common Stock",N, ,N,100.0,N,,ASPN,ASPN,N,Industrials,Yahoo Finance
Y,ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",N, ,N,100.0,N,,ASR,ASR,N,Industrials,Yahoo Finance
Y,ASTE,"Astec Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ASTE,N,Industrials,Yahoo Finance
Y,ATI,Allegheny Technologies Incorporated Common Stock,N, ,N,100.0,N,,ATI,ATI,N,Industrials,Yahoo Finance
Y,ATKR,Atkore International Group Inc. Common Stock,N, ,N,100.0,N,,ATKR,ATKR,N,Industrials,Yahoo Finance
Y,ATRO,Astronics Corporation - Common Stock,Q,Q,N,100.0,N,N,,ATRO,N,Industrials,Yahoo Finance
Y,AVAV,"AeroVironment, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AVAV,N,Industrials,Yahoo Finance
Y,AWI,Armstrong World Industries Inc Common Stock,N, ,N,100.0,N,,AWI,AWI,N,Industrials,Yahoo Finance
Y,AWX,Avalon Holdings Corporation Common Stock,A, ,N,100.0,N,,AWX,AWX,N,Industrials,Yahoo Finance
Y,AYI,"Acuity Brands, Inc. ",N, ,N,100.0,N,,AYI,AYI,N,Industrials,Yahoo Finance
Y,AZZ,AZZ Inc.,N, ,N,100.0,N,,AZZ,AZZ,N,Industrials,Yahoo Finance
Y,BA,Boeing Company (The) Common Stock,N, ,N,100.0,N,,BA,BA,N,Industrials,Yahoo Finance
Y,BAH,Booz Allen Hamilton Holding Corporation Common Stock,N, ,N,100.0,N,,BAH,BAH,N,Industrials,Yahoo Finance
Y,BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",Q,S,N,100.0,N,N,,BBCP,N,Industrials,Yahoo Finance
Y,BBSI,"Barrett Business Services, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BBSI,N,Industrials,Yahoo Finance
Y,BBU,Brookfield Business Partners L.P. Limited Partnership Units ,N, ,N,100.0,N,,BBU,BBU,N,Industrials,Yahoo Finance
Y,BCO,Brinks Company (The) Common Stock,N, ,N,100.0,N,,BCO,BCO,N,Industrials,Yahoo Finance
Y,BE,Bloom Energy Corporation Class A Common Stock,N, ,N,100.0,N,,BE,BE,N,Industrials,Yahoo Finance
Y,BGSF,BG Staffing Inc Common Stock,N, ,N,100.0,N,,BGSF,BGSF,N,Industrials,Yahoo Finance
Y,BKYI,"BIO-key International, Inc. - Common Stock",Q,S,N,100.0,N,D,,BKYI,N,Industrials,Yahoo Finance
Y,BLBD,Blue Bird Corporation - Common Stock,Q,G,N,100.0,N,N,,BLBD,N,Industrials,Yahoo Finance
Y,BLD,TopBuild Corp. Common Stock,N, ,N,100.0,N,,BLD,BLD,N,Industrials,Yahoo Finance
Y,BLDP,"Ballard Power Systems, Inc. - Common Shares",Q,G,N,100.0,N,N,,BLDP,N,Industrials,Yahoo Finance
Y,BLDR,"Builders FirstSource, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BLDR,N,Industrials,Yahoo Finance
Y,BLNK,Blink Charging Co. - Common Stock,Q,S,N,100.0,N,N,,BLNK,N,Industrials,Yahoo Finance
Y,BOOM,DMC Global Inc. - Common Stock,Q,Q,N,100.0,N,N,,BOOM,N,Industrials,Yahoo Finance
Y,BRC,Brady Corporation Common Stock,N, ,N,100.0,N,,BRC,BRC,N,Industrials,Yahoo Finance
Y,BV,"BrightView Holdings, Inc. Common Stock",N, ,N,100.0,N,,BV,BV,N,Industrials,Yahoo Finance
Y,BW,"Babcock & Wilcox Enterprises, Inc. Common Stock",N, ,N,100.0,N,,BW,BW,N,Industrials,Yahoo Finance
Y,BWEN,"Broadwind Energy, Inc. - Common Stock",Q,S,N,100.0,N,N,,BWEN,N,Industrials,Yahoo Finance
Y,BWXT,"BWX Technologies, Inc. Common Stock",N, ,N,100.0,N,,BWXT,BWXT,N,Industrials,Yahoo Finance
Y,BXC,Bluelinx Holdings Inc. Common Stock,N, ,N,100.0,N,,BXC,BXC,N,Industrials,Yahoo Finance
Y,CAAP,Corporacion America Airports SA Common Shares,N, ,N,100.0,N,,CAAP,CAAP,N,Industrials,Yahoo Finance
Y,CAE,CAE Inc. Ordinary Shares,N, ,N,100.0,N,,CAE,CAE,N,Industrials,Yahoo Finance
Y,CAR,"Avis Budget Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CAR,N,Industrials,Yahoo Finance
Y,CASS,"Cass Information Systems, Inc - Common Stock",Q,Q,N,100.0,N,N,,CASS,N,Industrials,Yahoo Finance
Y,CAT,"Caterpillar, Inc. Common Stock",N, ,N,100.0,N,,CAT,CAT,N,Industrials,Yahoo Finance
Y,CBAT,"CBAK Energy Technology, Inc. - Common Stock",Q,S,N,100.0,N,D,,CBAT,N,Industrials,Yahoo Finance
Y,CBZ,"CBIZ, Inc. Common Stock",N, ,N,100.0,N,,CBZ,CBZ,N,Industrials,Yahoo Finance
Y,CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CHRW,N,Industrials,Yahoo Finance
Y,CIX,CompX International Inc. Common Stock,A, ,N,100.0,N,,CIX,CIX,N,Industrials,Yahoo Finance
