Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N,Real Estate,Yahoo Finance
Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N,Real Estate,Yahoo Finance
Y,ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,100.0,N,,ACRE,ACRE,N,Real Estate,Yahoo Finance
Y,ADC,Agree Realty Corporation Common Stock,N, ,N,100.0,N,,ADC,ADC,N,Real Estate,Yahoo Finance
Y,AGNC,AGNC Investment Corp. - Common Stock,Q,Q,N,100.0,N,N,,AGNC,N,Real Estate,Yahoo Finance
Y,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,Q,N,100.0,N,N,,AGNCM,N,Real Estate,Yahoo Finance
Y,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,AGNCN,N,Real Estate,Yahoo Finance
Y,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,AGNCO,N,Real Estate,Yahoo Finance
Y,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,AGNCP,N,Real Estate,Yahoo Finance
Y,AHH,"Armada Hoffler Properties, Inc. Common Stock",N, ,N,100.0,N,,AHH,AHH,N,Real Estate,Yahoo Finance
Y,AHT,Ashford Hospitality Trust Inc Common Stock,N, ,N,100.0,N,,AHT,AHT,N,Real Estate,Yahoo Finance
Y,AIV,Apartment Investment and Management Company Common Stock,N, ,N,100.0,N,,AIV,AIV,N,Real Estate,Yahoo Finance
Y,AKR,Acadia Realty Trust Common Stock,N, ,N,100.0,N,,AKR,AKR,N,Real Estate,Yahoo Finance
Y,ALEX,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",N, ,N,100.0,N,,ALEX,ALEX,N,Real Estate,Yahoo Finance
Y,ALX,"Alexander's, Inc. Common Stock",N, ,N,100.0,N,,ALX,ALX,N,Real Estate,Yahoo Finance
Y,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,N, ,N,100.0,N,,AMH,AMH,N,Real Estate,Yahoo Finance
Y,AMT,American Tower Corporation (REIT) Common Stock,N, ,N,100.0,N,,AMT,AMT,N,Real Estate,Yahoo Finance
Y,APLE,"Apple Hospitality REIT, Inc. Common Shares",N, ,N,100.0,N,,APLE,APLE,N,Real Estate,Yahoo Finance
Y,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",N, ,N,100.0,N,,ARE,ARE,N,Real Estate,Yahoo Finance
Y,ARI,"Apollo Commercial Real Estate Finance, Inc",N, ,N,100.0,N,,ARI,ARI,N,Real Estate,Yahoo Finance
Y,ARL,"American Realty Investors, Inc. Common Stock",N, ,N,100.0,N,,ARL,ARL,N,Real Estate,Yahoo Finance
Y,ARR,"ARMOUR Residential REIT, Inc.",N, ,N,100.0,N,,ARR,ARR,N,Real Estate,Yahoo Finance
Y,ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Q,Q,N,100.0,N,N,,ASPS,N,Real Estate,Yahoo Finance
Y,AVB,"AvalonBay Communities, Inc. Common Stock",N, ,N,100.0,N,,AVB,AVB,N,Real Estate,Yahoo Finance
