Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N,Technology,Yahoo Finance
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N,Technology,Yahoo Finance
Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACIW,N,Technology,Yahoo Finance
Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACLS,N,Technology,Yahoo Finance
Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,ACMR,N,Technology,Yahoo Finance
Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,,ACN,ACN,N,Technology,Yahoo Finance
Y,ADBE,Adobe Inc. - Common Stock,Q,Q,N,100.0,N,N,,ADBE,N,Technology,Yahoo Finance
Y,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADI,N,Technology,Yahoo Finance
Y,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADP,N,Technology,Yahoo Finance
Y,ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADSK,N,Technology,Yahoo Finance
Y,ADTN,"ADTRAN, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADTN,N,Technology,Yahoo Finance
Y,AEHR,Aehr Test Systems - Common Stock,Q,S,N,100.0,N,N,,AEHR,N,Technology,Yahoo Finance
Y,AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,100.0,N,N,,AEYE,N,Technology,Yahoo Finance
Y,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,100.0,N,D,,AGMH,N,Technology,Yahoo Finance
Y,AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AGYS,N,Technology,Yahoo Finance
Y,AI,Arlington Asset Investment Corp Class A (new),N, ,N,100.0,N,,AI,AI,N,Technology,Yahoo Finance
Y,AIRG,"Airgain, Inc. - Common Stock",Q,S,N,100.0,N,N,,AIRG,N,Technology,Yahoo Finance
Y,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AKAM,N,Technology,Yahoo Finance
Y,ALLT,Allot Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,ALLT,N,Technology,Yahoo Finance
Y,ALOT,"AstroNova, Inc. - Common Stock",Q,G,N,100.0,N,N,,ALOT,N,Technology,Yahoo Finance
Y,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ALRM,N,Technology,Yahoo Finance
Y,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMAT,N,Technology,Yahoo Finance
Y,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,Q,N,100.0,N,N,,AMBA,N,Technology,Yahoo Finance
Y,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMD,N,Technology,Yahoo Finance
Y,AMKR,"Amkor Technology, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AMKR,N,Technology,Yahoo Finance
Y,ANET,"Arista Networks, Inc. Common Stock",N, ,N,100.0,N,,ANET,ANET,N,Technology,Yahoo Finance
Y,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,Q,N,100.0,N,N,,AOSL,N,Technology,Yahoo Finance
Y,APH,Amphenol Corporation Common Stock,N, ,N,100.0,N,,APH,APH,N,Technology,Yahoo Finance
Y,APPF,"AppFolio, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,APPF,N,Technology,Yahoo Finance
Y,APPN,Appian Corporation - Class A Common Stock,Q,G,N,100.0,N,N,,APPN,N,Technology,Yahoo Finance
Y,APPS,"Digital Turbine, Inc. - Common Stock",Q,S,N,100.0,N,N,,APPS,N,Technology,Yahoo Finance
Y,ARW,"Arrow Electronics, Inc. Common Stock",N, ,N,100.0,N,,ARW,ARW,N,Technology,Yahoo Finance
Y,ASGN,ASGN Incorporated Common Stock,N, ,N,100.0,N,,ASGN,ASGN,N,Technology,Yahoo Finance
Y,ASML,ASML Holding N.V. - New York Registry Shares,Q,Q,N,100.0,N,N,,ASML,N,Technology,Yahoo Finance
Y,ASTC,Astrotech Corporation - Common Stock,Q,S,N,100.0,N,D,,ASTC,N,Technology,Yahoo Finance
Y,ASUR,Asure Software Inc - Common Stock,Q,S,N,100.0,N,N,,ASUR,N,Technology,Yahoo Finance
