Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,AEE,Ameren Corporation Common Stock,N, ,N,100.0,N,,AEE,AEE,N,Utilities,Yahoo Finance
Y,AEP,"American Electric Power Company, Inc. Common Stock",N, ,N,100.0,N,,AEP,AEP,N,Utilities,Yahoo Finance
Y,AES,The AES Corporation Common Stock,N, ,N,100.0,N,,AES,AES,N,Utilities,Yahoo Finance
Y,ALE,"Allete, Inc.",N, ,N,100.0,N,,ALE,ALE,N,Utilities,Yahoo Finance
Y,AQN,Algonquin Power & Utilities Corp. Common Shares,N, ,N,100.0,N,,AQN,AQN,N,Utilities,Yahoo Finance
Y,ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,Q,N,100.0,N,N,,ARTNA,N,Utilities,Yahoo Finance
Y,ATO,Atmos Energy Corporation Common Stock,N, ,N,100.0,N,,ATO,ATO,N,Utilities,Yahoo Finance
Y,AVA,Avista Corporation Common Stock,N, ,N,100.0,N,,AVA,AVA,N,Utilities,Yahoo Finance
Y,AWK,"American Water Works Company, Inc. Common Stock",N, ,N,100.0,N,,AWK,AWK,N,Utilities,Yahoo Finance
Y,AWR,American States Water Company Common Stock,N, ,N,100.0,N,,AWR,AWR,N,Utilities,Yahoo Finance
Y,BEP,Brookfield Renewable Partners L.P. ,N, ,N,100.0,N,,BEP,BEP,N,Utilities,Yahoo Finance
Y,BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,N, ,N,100.0,N,,BIP,BIP,N,Utilities,Yahoo Finance
Y,BKH,Black Hills Corporation Common Stock,N, ,N,100.0,N,,BKH,BKH,N,Utilities,Yahoo Finance
Y,CDZI,"Cadiz, Inc. - Common Stock",Q,G,N,100.0,N,N,,CDZI,N,Utilities,Yahoo Finance
Y,CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),N, ,N,100.0,N,,CEPU,CEPU,N,Utilities,Yahoo Finance
Y,CIG,Comp En De Mn Cemig ADS American Depositary Shares,N, ,N,100.0,N,,CIG,CIG,N,Utilities,Yahoo Finance
Y,CMS,CMS Energy Corporation Common Stock,N, ,N,100.0,N,,CMS,CMS,N,Utilities,Yahoo Finance
Y,CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",N, ,N,100.0,N,,CNP,CNP,N,Utilities,Yahoo Finance
Y,CPK,Chesapeake Utilities Corporation Common Stock,N, ,N,100.0,N,,CPK,CPK,N,Utilities,Yahoo Finance
Y,CREG,China Recycling Energy Corporation - Common Stock,Q,S,N,100.0,N,D,,CREG,N,Utilities,Yahoo Finance
Y,CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,CWCO,N,Utilities,Yahoo Finance
Y,CWEN,"Clearway Energy, Inc. Class C Common Stock",N, ,N,100.0,N,,CWEN,CWEN,N,Utilities,Yahoo Finance
Y,CWT,California Water Service Group Common Stock,N, ,N,100.0,N,,CWT,CWT,N,Utilities,Yahoo Finance
Y,D,"Dominion Energy, Inc. Common Stock",N, ,N,100.0,N,,D,D,N,Utilities,Yahoo Finance
Y,DTE,DTE Energy Company Common Stock,N, ,N,100.0,N,,DTE,DTE,N,Utilities,Yahoo Finance
Y,DUK,Duke Energy Corporation (Holding Company) Common Stock,N, ,N,100.0,N,,DUK,DUK,N,Utilities,Yahoo Finance
Y,EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),N, ,N,100.0,N,,EBR,EBR,N,Utilities,Yahoo Finance
Y,ED,"Consolidated Edison, Inc. Common Stock",N, ,N,100.0,N,,ED,ED,N,Utilities,Yahoo Finance
Y,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,N, ,N,100.0,N,,EDN,EDN,N,Utilities,Yahoo Finance
Y,EIX,Edison International Common Stock,N, ,N,100.0,N,,EIX,EIX,N,Utilities,Yahoo Finance
Y,ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),A, ,N,100.0,N,,ELLO,ELLO,N,Utilities,Yahoo Finance
Y,ELP,Companhia Paranaense de Energia (COPEL) Common Stock,N, ,N,100.0,N,,ELP,ELP,N,Utilities,Yahoo Finance
Y,ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),N, ,N,100.0,N,,ENIC,ENIC,N,Utilities,Yahoo Finance
Y,ES,Eversource Energy (D/B/A) Common Stock,N, ,N,100.0,N,,ES,ES,N,Utilities,Yahoo Finance
Y,ETR,Entergy Corporation Common Stock,N, ,N,100.0,N,,ETR,ETR,N,Utilities,Yahoo Finance
Y,EVRG,"Evergy, Inc. Common Stock",N, ,N,100.0,N,,EVRG,EVRG,N,Utilities,Yahoo Finance
Y,EXC,Exelon Corporation - Common Stock,Q,Q,N,100.0,N,N,,EXC,N,Utilities,Yahoo Finance
Y,FE,FirstEnergy Corp. Common Stock,N, ,N,100.0,N,,FE,FE,N,Utilities,Yahoo Finance
Y,FTS,Fortis Inc. Common Shares,N, ,N,100.0,N,,FTS,FTS,N,Utilities,Yahoo Finance
Y,GNE,Genie Energy Ltd. Class B Common Stock Stock,N, ,N,100.0,N,,GNE,GNE,N,Utilities,Yahoo Finance
Y,GWRS,"Global Water Resources, Inc. - common stock",Q,G,N,100.0,N,N,,GWRS,N,Utilities,Yahoo Finance
Y,HE,"Hawaiian Electric Industries, Inc. Common Stock",N, ,N,100.0,N,,HE,HE,N,Utilities,Yahoo Finance
Y,IDA,"IDACORP, Inc. Common Stock",N, ,N,100.0,N,,IDA,IDA,N,Utilities,Yahoo Finance
Y,KEN,Kenon Holdings Ltd. Ordinary Shares,N, ,N,100.0,N,,KEN,KEN,N,Utilities,Yahoo Finance
Y,KEP,Korea Electric Power Corporation Common Stock,N, ,N,100.0,N,,KEP,KEP,N,Utilities,Yahoo Finance
Y,LNT,Alliant Energy Corporation - Common Stock,Q,Q,N,100.0,N,N,,LNT,N,Utilities,Yahoo Finance
Y,MDU,"MDU Resources Group, Inc. Common Stock (Holding Company)",N, ,N,100.0,N,,MDU,MDU,N,Utilities,Yahoo Finance
Y,MGEE,MGE Energy Inc. - Common Stock,Q,Q,N,100.0,N,N,,MGEE,N,Utilities,Yahoo Finance
Y,MSEX,Middlesex Water Company - Common Stock,Q,Q,N,100.0,N,N,,MSEX,N,Utilities,Yahoo Finance
Y,NEE,"NextEra Energy, Inc. Common Stock",N, ,N,100.0,N,,NEE,NEE,N,Utilities,Yahoo Finance
Y,NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",N, ,N,100.0,N,,NGG,NGG,N,Utilities,Yahoo Finance
Y,NI,NiSource Inc Common Stock,N, ,N,100.0,N,,NI,NI,N,Utilities,Yahoo Finance
Y,NJR,NewJersey Resources Corporation Common Stock,N, ,N,100.0,N,,NJR,NJR,N,Utilities,Yahoo Finance
Y,NRG,"NRG Energy, Inc. Common Stock",N, ,N,100.0,N,,NRG,NRG,N,Utilities,Yahoo Finance
Y,NWE,NorthWestern Corporation Common Stock,N, ,N,100.0,N,,NWE,NWE,N,Utilities,Yahoo Finance
